resultId,raceId,driverId,constructorId,number,grid,position,positionOrder,points,laps,time,milliseconds,fastestLap,fastestLapTime,statusId
129,1101,848,3,23,7,9,9,0,17,+21.757,0 days 00:33:39.424000,10,00:01:44.915000,1
130,1101,857,1,81,11,10,10,0,17,+22.851,0 days 00:33:40.518000,8,00:01:44.776000,1
131,1101,825,210,20,13,11,11,0,17,+27.990,0 days 00:33:45.657000,14,00:01:45.349000,1
132,1101,855,51,24,14,12,12,0,17,+34.602,0 days 00:33:52.269000,16,00:01:45.766000,1
133,1101,842,214,10,17,13,13,0,17,+36.918,0 days 00:33:54.585000,12,00:01:45.883000,1
134,1101,856,213,21,18,14,14,0,17,+41.626,0 days 00:33:59.293000,17,00:01:45.768000,1
135,1101,807,210,27,12,15,15,0,17,+48.587,0 days 00:34:06.254000,8,00:01:45.971000,1
136,1101,822,51,77,15,16,16,0,17,+49.917,0 days 00:34:07.584000,9,00:01:46.277000,1
137,1101,846,1,4,10,17,17,0,17,+51.104,0 days 00:34:08.771000,15,00:01:44.484000,1
138,1101,839,214,31,0,18,18,0,17,+1:00.621,0 days 00:34:18.288000,15,00:01:45.090000,1
139,1101,852,213,22,16,\N,19,0,2,\N,,0,,130
140,1101,858,3,2,0,\N,20,0,0,\N,,0,,3
141,1107,830,9,1,1,1,1,8,24,30:26.730,0 days 00:30:26.730000,19,00:01:14.292000,1
142,1107,815,9,11,2,2,2,7,24,+21.048,0 days 00:30:47.778000,16,00:01:15.492000,1
143,1107,832,6,55,5,3,3,6,24,+23.088,0 days 00:30:49.818000,16,00:01:15.457000,1
144,1107,840,117,18,7,4,4,5,24,+29.703,0 days 00:30:56.433000,23,00:01:15.531000,1
145,1107,4,117,14,6,5,5,4,24,+30.109,0 days 00:30:56.839000,18,00:01:14.978000,1
146,1107,807,210,27,4,6,6,3,24,+31.297,0 days 00:30:58.027000,24,00:01:10.180000,1
147,1107,839,214,31,8,7,7,2,24,+36.602,0 days 00:31:03.332000,22,00:01:15.512000,1
148,1107,847,131,63,15,8,8,1,24,+36.611,0 days 00:31:03.341000,23,00:01:10.385000,1
149,1107,846,1,4,3,9,9,0,24,+38.608,0 days 00:31:05.338000,19,00:01:15.627000,1
150,1107,1,131,44,18,10,10,0,24,+46.375,0 days 00:31:13.105000,24,00:01:10.775000,1
151,1107,857,1,81,17,11,11,0,24,+49.807,0 days 00:31:16.537000,24,00:01:10.274000,1
152,1107,844,6,16,9,12,12,0,24,+50.789,0 days 00:31:17.519000,24,00:01:10.686000,1
153,1107,848,3,23,11,13,13,0,24,+52.848,0 days 00:31:19.578000,24,00:01:11.635000,1
154,1107,825,210,20,10,14,14,0,24,+56.593,0 days 00:31:23.323000,23,00:01:10.539000,1
155,1107,842,214,10,12,15,15,0,24,+57.652,0 days 00:31:24.382000,22,00:01:16.109000,1
156,1107,852,213,22,13,16,16,0,24,+1:04.822,0 days 00:31:31.552000,23,00:01:11.363000,1
157,1107,856,213,21,14,17,17,0,24,+1:05.617,0 days 00:31:32.347000,22,00:01:11.701000,1
158,1107,858,3,2,20,18,18,0,24,+1:06.059,0 days 00:31:32.789000,21,00:01:11.829000,1
159,1107,855,51,24,16,19,19,0,24,+1:10.825,0 days 00:31:37.555000,22,00:01:11.305000,1
160,1107,822,51,77,0,20,20,0,24,+1:16.435,0 days 00:31:43.165000,22,00:01:16.758000,1
161,1110,830,9,1,1,1,1,8,11,24:58.433,0 days 00:24:58.433000,6,00:01:58.943000,1
162,1110,857,1,81,2,2,2,7,11,+6.677,0 days 00:25:05.110000,2,00:02:00.360000,1
